Year_Month,Fault_Group,fleet
1/1/2019,Electrical System,ABC
1/2/2019,Door System,ABC
1/3/2019,Electrical System,XYZ
1/3/2019,Door System,ABC
1/5/2019,Bogie Equipment,ABC
1/5/2019,Electrical System,ABC
1/7/2019,Control System,ABC
1/8/2019,Signaling System,XYZ
1/8/2019,Door System,XYZ
1/9/2019,Signaling System,XYZ
1/9/2019,Signaling System,ABC
1/9/2019,Door System,ABC
1/9/2019,Control System,ABC
1/9/2019,Door System,ABC
1/12/2019,Pneumatic System,XYZ
1/1/2020,Control System,ABC
1/3/2020,Signaling System,XYZ
1/3/2020,Electrical System,ABC
1/3/2020,Electrical System,ABC
1/4/2020,Auxiliary System,ABC
1/4/2020,Control System,ABC
1/4/2020,Brake System,ABC
1/8/2020,Electrical System,ABC
1/9/2020,Signaling System,ABC
1/10/2020,Signaling System,XYZ
1/10/2020,Electrical System,ABC
1/11/2020,Door System,XYZ
1/11/2020,Door System,ABC
1/12/2020,Aircon System,ABC
1/12/2020,Brake System,ABC
1/2/2021,Brake System,ABC
1/2/2021,Aircon System,ABC
1/2/2021,Control System,ABC
1/3/2021,Brake System,XYZ
1/6/2021,Electrical System,ABC
1/7/2021,Electrical System,ABC
1/7/2021,Signaling System,ABC
1/8/2021,Signaling System,XYZ
1/8/2021,Signaling System,ABC
1/8/2021,Electrical System,ABC
1/8/2021,Control System,ABC
1/9/2021,Control System,ABC
1/9/2021,Door System,ABC
1/9/2021,Electrical System,XYZ
1/9/2021,Control System,ABC
1/9/2021,Control System,ABC
1/10/2021,Brake System,ABC
1/10/2021,Propulsion System,ABC
1/10/2021,Control System,ABC
1/12/2021,Control System,ABC
1/12/2021,Signaling System,ABC
1/12/2021,Control System,ABC
1/1/2022,Control System,ABC
1/1/2022,Electrical System,ABC
1/1/2022,Control System,ABC
1/1/2022,Door System,ABC
1/1/2022,Electrical System,ABC
1/1/2022,Brake System,ABC
1/2/2022,Bogie Equipment,ABC
1/2/2022,Signaling System,ABC
1/2/2022,Control System,ABC
1/2/2022,Signaling System,ABC
1/2/2022,Control System,ABC
1/2/2022,Door System,ABC
1/3/2022,Control System,ABC
1/3/2022,Control System,ABC
1/4/2022,Propulsion System,ABC
1/4/2022,Control System,ABC
1/4/2022,Door System,XYZ
1/4/2022,Propulsion System,ABC
1/4/2022,Door System,XYZ
1/4/2022,Brake System,ABC
1/4/2022,Door System,XYZ
1/4/2022,Signaling System,ABC
1/4/2022,Electrical System,XYZ
1/5/2022,Door System,ABC
1/5/2022,Door System,ABC
1/5/2022,Control System,ABC
1/5/2022,Signaling System,XYZ
